user,reaction_speed(in_ms),type_of_activation
User1,338,light
User1,816,light
User2,761,shock
User2,607,sound
User3,248,light
User3,357,sound
User4,546,light
User2,983,shock
User4,12,light
User3,81,light
User2,43,sound
User3,581,sound
User1,481,shock
User2,52,shock
User4,198,sound
User2,209,sound
User2,144,sound
User2,682,light
User5,656,shock
User1,158,sound
User4,879,light
User2,658,sound
User4,651,light
User1,337,shock
User4,190,light
User3,174,sound
User5,9,sound
User5,66,sound
User4,262,light
User1,848,sound
User3,658,shock
User2,911,shock
User1,215,sound
User1,70,sound
User4,181,shock
User2,371,sound
User4,603,shock
User4,571,light
User3,583,shock
User4,961,sound
User5,450,shock
User5,77,light
User5,209,shock
User5,58,light
User1,425,light
User5,744,light
User2,559,sound
User5,158,light
User1,111,shock
User4,561,light
User2,825,light
User5,984,sound
User4,74,light
User2,298,light
User1,484,light
User4,437,shock
User5,263,sound
User2,836,light
User2,360,shock
User5,491,shock
User4,70,shock
User5,967,light
User3,13,shock
User4,681,sound
User1,27,sound
User1,964,sound
User5,911,light
User4,811,shock
User2,141,shock
User4,687,light
User4,159,light
User5,154,shock
User3,284,sound
User5,265,light
User4,629,sound
User5,139,sound
User1,695,light
User3,633,shock
User4,823,light
User3,377,light
User1,841,sound
User2,806,shock
User2,461,shock
User1,637,light
User4,592,sound
User2,592,sound
User1,742,sound
User4,407,sound
User2,966,shock
User2,194,sound
User5,565,shock
User2,997,light
User3,599,shock
User2,580,light
User3,654,sound
User3,837,shock
User3,546,shock
User1,943,sound
User4,210,light
User4,919,sound
User3,759,light
User1,451,light
User1,685,light
User1,595,light
User3,783,sound
User1,712,shock
User3,289,sound
User4,902,light
User4,711,sound
User4,524,light
User3,593,light
User3,455,shock
User1,267,shock
User4,321,shock
User3,347,shock
User5,397,sound
User1,827,sound
User2,17,sound
User4,285,shock
User1,15,shock
User2,65,sound
User3,411,light
User3,710,shock
User4,265,shock
User5,639,shock
User4,899,shock
User4,104,sound
User1,323,sound
User3,729,sound
User2,310,shock
User2,18,shock
User4,357,shock
User5,488,sound
User5,985,sound
User1,86,sound
User2,426,sound
User5,132,light
User1,278,shock
User2,10,light
User4,751,sound
User5,549,shock
User2,64,sound
User4,904,light
User1,24,shock
User2,274,shock
User2,950,shock
User5,813,light
User5,488,shock
User4,656,sound
User4,730,sound
User3,485,sound
User3,939,light
User5,798,light
User3,525,shock
User5,798,shock
User5,203,sound
User2,52,sound
User3,117,light
User5,776,light
User3,620,shock
User5,86,sound
User3,429,shock
User4,802,light
User2,211,sound
User1,842,shock
User2,623,light
User4,456,light
User2,591,shock
User1,61,shock
User3,864,sound
User5,40,light
User2,195,sound
User2,631,sound
User4,763,sound
User4,251,light
User3,532,shock
User1,514,shock
User2,916,light
User2,279,sound
User3,85,shock
User3,881,shock
User3,667,sound
User2,855,sound
User3,316,light
User5,741,shock
User4,757,light
User4,1,shock
User5,998,shock
User4,265,shock
User5,350,shock
User1,8,sound
User3,997,shock
User3,64,shock
User4,2,shock
User5,99,light
User4,496,light
User2,65,sound
User3,460,shock
User2,19,shock
User3,591,shock
User2,8,light
User5,944,light
User3,619,sound
User1,512,light
User4,712,light
User4,445,light
User1,725,shock
User3,471,shock
User1,120,light
User3,426,shock
User3,767,shock
User5,698,light
User5,356,sound
User5,869,shock
User2,685,sound
User5,142,shock
User2,935,light
User5,986,light
User1,669,sound
User1,340,sound
User3,857,shock
User4,864,light
User5,207,light
User4,603,light
User2,871,light
User4,267,light
User4,815,sound
User3,639,shock
User5,345,shock
User3,106,sound
User5,614,sound
User5,676,sound
User5,453,shock
User2,885,shock
User1,697,light
User3,671,shock
User5,416,light
User5,525,shock
User1,642,shock
User5,77,sound
User2,960,shock
User4,27,light
User5,251,sound
User1,906,shock
User3,537,sound
User1,318,sound
User5,499,sound
User2,577,light
User3,86,sound
User2,352,light
User5,76,sound
User2,47,shock
User5,157,shock
User4,345,shock
User1,119,shock
User5,907,shock
User5,403,sound
User4,542,sound
User2,908,light
User3,133,sound
User1,536,light
User1,250,shock
User5,681,shock
User4,33,light
User1,734,light
User3,510,light
User4,309,shock
User2,253,light
User5,998,light
User2,186,sound
User1,118,light
User4,398,sound
User4,734,shock
User5,250,shock
User2,872,sound
User5,830,sound
User4,277,shock
User3,763,shock
User5,527,light
User3,179,shock
User2,758,light
User1,198,light
User1,341,light
User4,657,sound
User4,393,shock
User1,490,shock
User3,502,shock
User1,575,shock
User4,278,sound
User5,115,shock
User1,726,shock
User3,747,shock
User1,730,sound
User2,151,shock
User1,977,sound
User2,989,shock
User2,206,sound
User3,663,light
User1,404,sound
User2,761,shock
User2,502,light
User2,76,light
User2,7,light
User2,591,shock
User4,772,light
User4,879,shock
User2,8,shock
User3,991,sound
User1,453,sound
User4,465,shock
User1,548,shock
User4,338,shock
User2,311,shock
User5,71,light
User4,943,shock
User4,376,sound
User5,925,shock
User2,986,sound
User4,542,shock
User3,466,shock
User5,662,shock
User4,586,shock
User5,126,light
User1,256,sound
User1,807,light
User4,688,light
User4,544,light
User2,271,sound
User3,231,shock
User4,743,shock
User4,186,shock
User1,722,shock
User5,224,light
User1,579,light
User4,715,shock
User2,204,shock
User4,543,light
User2,666,light
User3,313,light
User1,104,shock
User3,335,shock
User1,862,light
User3,24,light
User2,315,shock
User4,964,light
User5,812,shock
User3,521,shock
User1,990,shock
User3,656,light
User1,95,sound
User1,168,light
User5,428,light
User4,318,light
User5,724,sound
User4,966,sound
User2,392,sound
User1,515,sound
User4,850,shock
User1,745,sound
User2,670,light
User2,256,shock
User4,114,shock
User1,875,shock
User1,486,shock
User3,381,light
User1,661,sound
User3,729,shock
User2,296,light
User4,816,shock
User1,435,shock
User1,29,light
User4,934,shock
User5,536,light
User4,284,light
User2,631,light
User2,906,light
User2,719,light
User1,977,shock
User4,251,sound
User2,0,sound
User1,127,light
User1,993,shock
User5,397,shock
User4,118,sound
User2,944,light
User5,671,shock
User4,900,sound
User1,753,sound
User2,457,light
User5,887,shock
User3,92,shock
User5,260,sound
User1,809,light
User3,682,light
User2,925,light
User3,899,sound
User3,56,light
User4,251,shock
User2,713,sound
User4,133,shock
User2,554,light
User2,458,shock
User5,880,light
User3,882,light
User2,357,shock
User3,306,sound
User1,456,light
User5,951,shock
User1,100,shock
User3,487,shock
User2,486,light
User4,119,light
User4,11,light
User1,887,shock
User3,733,light
User4,857,light
User1,331,sound
User5,920,shock
User1,627,sound
User2,261,shock
User1,255,light
User2,255,shock
User1,917,shock
User1,58,light
User3,869,shock
User1,908,sound
User2,86,shock
User4,681,sound
User5,689,shock
User2,70,sound
User5,390,shock
User4,202,sound
User2,598,light
User4,35,sound
User1,509,sound
User1,748,shock
User3,999,light
User4,47,sound
User2,996,sound
User5,756,light
User5,541,light
User4,352,sound
User4,437,shock
User4,580,shock
User3,926,sound
User4,424,sound
User3,179,sound
User3,511,shock
User1,86,shock
User4,174,light
User3,387,shock
User4,805,light
User3,716,sound
User5,728,sound
User3,668,sound
User5,287,shock
User1,114,sound
User3,279,shock
User5,299,sound
User1,766,sound
User4,265,sound
User4,927,light
User2,812,shock
User3,620,light
User3,786,sound
User5,462,shock
User5,387,shock
User1,33,light
User5,691,light
User5,59,shock
User2,387,sound
User1,930,sound
User4,220,shock
User2,751,shock
User5,529,sound
User1,959,sound
User5,746,shock
User3,430,sound
User5,349,shock
User2,821,light
User5,815,light
User1,643,sound
User1,315,shock
User2,347,light
User2,743,shock
User3,775,light
User4,342,sound
User3,149,light
User1,658,light
User5,680,shock
User5,999,sound
User5,484,light
User5,899,sound
User2,867,shock
User5,278,light
User2,395,sound
User1,789,shock
User2,657,sound
User1,847,shock
User5,808,light
User2,860,shock
User4,29,light
User3,183,light
User4,298,light
User1,595,sound
User3,341,light
User3,444,shock
User5,659,sound
User5,375,sound
User2,702,sound
User2,718,light
User3,278,light
User5,573,light
User5,290,light
User5,788,shock
User4,281,light
User3,184,shock
User3,677,shock
User1,91,shock
User4,728,shock
User3,329,shock
User2,605,shock
User1,504,light
User5,216,light
User4,110,shock
User1,559,shock
User5,334,sound
User4,733,light
User1,143,light
User3,287,shock
User4,446,light
User4,342,light
User5,595,shock
User4,488,shock
User2,502,shock
User3,42,light
User5,698,light
User3,190,sound
User1,335,sound
User2,177,sound
User4,283,light
User2,918,shock
User3,610,shock
User5,147,sound
User4,409,shock
User5,665,light
User3,721,light
User2,734,shock
User3,8,shock
User1,272,sound
User4,125,shock
User1,291,sound
User5,744,sound
User4,970,sound
User3,345,sound
User5,937,shock
User3,394,light
User1,434,sound
User4,396,shock
User3,287,sound
User1,340,shock
User4,181,light
User2,287,light
User5,184,shock
User2,16,sound
User4,892,sound
User1,323,sound
User5,422,sound
User3,570,light
User2,679,light
User1,879,sound
User3,610,light
User2,52,sound
User5,559,sound
User4,311,light
User2,365,shock
User2,213,sound
User4,859,light
User3,128,light
User5,257,shock
User4,241,shock
User3,72,shock
User1,820,sound
User3,272,light
User2,913,sound
User4,613,shock
User5,930,shock
User5,485,shock
User2,214,light
User5,232,light
User5,213,shock
User3,471,shock
User2,589,light
User2,884,light
User1,951,sound
User4,768,sound
User3,335,shock
User5,687,shock
User4,532,sound
User4,487,light
User2,672,shock
User3,802,sound
User1,766,sound
User2,476,light
User5,210,light
User2,567,shock
User3,429,light
User1,842,sound
User5,929,sound
User5,188,sound
User5,266,light
User2,948,sound
User4,815,sound
User5,458,sound
User1,272,sound
User5,702,light
User3,577,shock
User5,645,sound
User2,733,sound
User2,357,sound
User1,936,light
User3,756,shock
User2,860,light
User4,306,sound
User5,128,shock
User5,31,shock
User2,247,shock
User2,127,shock
User4,100,light
User3,865,shock
User5,101,sound
User5,151,sound
User1,492,light
User1,452,sound
User3,355,shock
User4,916,shock
User3,409,light
User3,355,light
User5,786,light
User2,9,shock
User5,875,light
User5,880,shock
User1,522,sound
User4,14,sound
User5,170,sound
User2,147,shock
User3,519,sound
User5,224,sound
User1,121,sound
User3,592,light
User5,971,sound
User1,77,shock
User1,919,sound
User2,955,light
User4,204,shock
User5,990,light
User5,964,shock
User2,708,shock
User5,289,sound
User2,220,shock
User2,717,sound
User1,384,shock
User5,469,shock
User5,352,shock
User3,490,sound
User4,27,light
User3,362,sound
User2,733,light
User2,77,light
User4,21,light
User3,173,sound
User5,332,sound
User1,294,shock
User3,109,sound
User3,544,sound
User3,127,sound
User1,471,sound
User5,669,light
User3,272,shock
User4,605,light
User4,641,light
User5,928,shock
User2,728,light
User2,267,shock
User2,726,light
User5,763,light
User1,878,shock
User2,408,sound
User2,526,sound
User5,768,shock
User3,990,light
User1,546,sound
User4,984,light
User1,385,light
User2,505,shock
User4,582,shock
User3,899,shock
User2,928,sound
User3,990,sound
User2,635,light
User2,477,light
User1,984,sound
User4,816,light
User4,290,shock
User4,19,light
User5,913,light
User5,716,shock
User4,112,sound
User3,987,sound
User2,715,shock
User5,67,sound
User1,9,light
User2,17,shock
User2,123,sound
User4,561,sound
User4,663,sound
User3,863,light
User2,106,sound
User1,433,shock
User4,847,sound
User5,227,light
User3,422,shock
User1,901,light
User2,10,shock
User2,374,shock
User1,776,light
User3,982,light
User5,149,shock
User4,791,light
User4,523,light
User5,900,sound
User1,243,light
User5,848,sound
User4,579,sound
User5,267,shock
User4,861,sound
User5,290,light
User4,632,shock
User2,284,light
User3,634,light
User3,515,shock
User2,240,light
User5,895,shock
User5,703,light
User2,181,sound
User2,828,sound
User4,865,shock
User1,912,sound
User1,325,light
User2,318,shock
User5,787,shock
User3,770,sound
User3,738,light
User2,853,sound
User5,458,shock
User4,479,shock
User2,123,light
User1,874,sound
User1,486,sound
User5,164,shock
User5,837,light
User5,431,sound
User4,364,shock
User2,202,sound
User3,398,sound
User4,928,shock
User2,969,sound
User3,28,sound
User1,307,light
User5,410,light
User5,685,sound
User4,800,light
User4,32,shock
User2,762,shock
User5,324,shock
User4,949,light
User5,369,shock
User1,150,sound
User1,528,light
User4,321,shock
User4,866,shock
User1,594,shock
User4,245,light
User3,958,light
User5,285,shock
User3,593,sound
User3,315,sound
User4,85,light
User4,293,sound
User1,880,light
User1,911,shock
User3,835,light
User5,53,sound
User2,476,shock
User3,40,light
User1,426,sound
User4,342,light
User5,298,sound
User1,284,light
User1,803,sound
User1,471,sound
User3,742,shock
User5,154,sound
User1,468,light
User4,254,sound
User1,600,shock
User1,260,sound
User3,183,shock
User4,938,sound
User1,202,sound
User2,547,light
User4,415,light
User2,554,sound
User5,754,shock
User1,327,light
User5,815,light
User1,210,light
User4,803,light
User4,629,light
User5,241,sound
User1,469,light
User1,333,light
User2,708,light
User3,789,sound
User5,627,light
User1,642,shock
User5,57,sound
User1,942,light
User5,761,sound
User1,384,sound
User4,999,shock
User2,470,shock
User2,851,light
User2,727,shock
User4,975,sound
User4,861,sound
User3,111,shock
User4,426,shock
User2,536,shock
User3,421,sound
User1,416,light
User2,970,light
User4,384,shock
User2,7,shock
User3,355,light
User5,374,sound
User1,349,light
User4,646,shock
User3,356,sound
User2,82,light
User4,778,sound
User3,208,sound
User5,600,light
User2,301,shock
User2,40,light
User2,50,shock
User3,830,sound
User5,132,sound
User3,79,shock
User5,990,light
User3,836,sound
User1,969,sound
User3,45,sound
User5,518,shock
User4,833,light
User1,458,sound
User5,561,light
User3,606,sound
User4,8,light
User1,280,sound
User5,346,sound
User5,948,shock
User5,885,sound
User1,145,shock
User3,419,sound
User5,483,sound
User5,798,shock
User5,330,shock
User1,700,shock
User1,696,shock
User3,638,sound
User4,865,shock
User2,702,sound
User1,462,shock
User4,837,sound
User3,23,shock
User4,222,light
User5,549,sound
User1,994,sound
User3,902,light
User5,528,shock
User4,777,shock
User4,488,sound
User2,622,shock
User3,209,shock
User5,913,light
User3,220,sound
User1,130,sound
User2,691,shock
User5,269,sound
User5,248,sound
User2,972,light
User1,538,light
User5,755,sound
User1,264,sound
User4,811,sound
User2,805,shock
User1,146,sound
User4,38,shock
User3,494,shock
User1,433,shock
User5,779,shock
User2,301,shock
User4,275,shock
User5,184,sound
User3,299,light
User5,162,shock
User4,419,sound
User3,45,shock
User5,915,light
User1,725,shock
User4,188,shock
User3,864,light
User3,633,sound
User4,388,light
User5,822,shock
User4,723,light
User4,682,sound
User2,216,light
User4,369,shock
User2,482,sound
User5,843,sound
User4,753,shock
User2,291,light
User5,557,light
User1,72,sound
User2,537,shock
User5,962,light
User3,139,shock
User5,948,sound
User4,140,light
User4,788,shock
User1,800,light
User3,248,shock
User4,55,sound
User5,242,sound
User1,624,sound
User4,883,light
User5,441,shock
User4,777,sound
User4,131,sound
User2,219,sound
User1,83,shock
User2,622,shock
User1,141,light
User3,883,sound
User4,405,shock
User4,434,light
User1,21,shock
User1,421,sound
User2,12,shock
User2,295,sound
User3,902,sound
User3,741,shock
User1,607,light
User2,656,sound
User5,501,sound
User1,397,shock
User4,887,light
User4,78,sound
User5,684,light
User4,791,light
User2,366,shock
User4,768,sound
User4,184,sound
User5,666,sound
User1,446,shock
User5,878,sound
User4,559,sound
User4,444,shock
User4,126,sound
User5,365,shock
User3,791,shock
User5,198,shock
User1,750,light
User4,94,sound
User3,939,sound
User5,913,sound
User3,521,sound
User1,86,shock
User1,193,light
User4,252,light
User4,139,light
User4,304,light
User4,370,light
User1,370,shock
User4,998,sound
User1,574,shock
User5,276,sound
User5,817,light
User4,17,light
User2,239,sound
User3,937,shock
User4,683,shock
User1,9,light
User1,770,shock
User2,109,light
User2,996,sound
User5,124,sound
User2,637,light
User2,185,shock
User5,264,shock
User4,74,light
User1,525,light
User3,800,sound
User4,535,shock
User3,626,sound
User1,482,light
User4,783,light
User5,149,light
User4,50,light
User2,835,light
User1,20,shock
User4,766,light
User2,500,light
User4,643,light
User1,93,shock
User2,918,light
User3,174,shock
User2,552,shock
User2,350,sound
User4,758,shock
User4,94,sound
User4,456,shock
User5,371,sound
User3,399,sound
User5,39,shock
User2,739,light
User2,598,light
User5,690,light
User4,399,sound
User2,733,shock
User1,711,shock
User4,409,sound
User1,250,light
User1,864,sound
User4,351,light
User2,319,shock
User1,507,light
User5,445,shock
User1,81,sound
User3,862,sound
User4,147,sound
User4,575,shock
User3,835,light
User2,18,light
User4,963,sound
User5,191,shock
User2,110,light
User3,527,shock
User4,593,shock
User1,492,light
User3,471,light
User5,966,shock
User1,87,sound
User3,360,shock
User1,41,sound
User2,559,sound
User1,986,sound
User1,732,light
User1,323,shock
User1,346,sound
User1,488,shock
User4,403,shock
User5,207,light
User4,334,shock
User1,984,shock
User1,834,light
User5,85,light
User2,599,sound
User3,204,shock
User5,847,sound
User5,196,light
User5,4,light
User1,405,shock
User3,445,light
User4,292,shock
User5,315,shock
User4,213,sound
User5,336,light
User5,22,light
User1,169,light
User1,943,shock
User4,756,shock
User5,891,light
User5,79,light
User4,231,light
User3,620,light
User1,144,light
User3,92,shock
User5,474,shock
User3,461,sound
User3,251,sound
User5,818,shock
User1,675,light
User3,614,light
User3,149,light
User1,50,sound
User3,416,light
User2,262,shock
User4,185,sound
User2,197,sound
User4,635,sound
User2,936,light
User2,167,sound
User1,904,light
User3,374,shock
User2,658,sound
User2,387,sound
User5,698,light
User5,912,sound
User1,517,shock
User2,746,shock
User5,603,shock
User2,356,sound
User4,190,light
User3,758,shock
User3,612,light
User3,742,shock
User4,601,shock
User2,66,shock
User3,298,shock
User2,317,shock
User3,232,sound
User4,350,sound
User4,872,light
User5,235,shock
User3,273,shock
User1,219,shock
User4,930,sound
User3,800,shock
User1,345,sound
User3,587,light
User1,585,light
User1,65,light
User5,54,light
User4,875,light
User2,272,shock
User4,556,shock
User4,21,shock
User2,759,light
User1,124,light
User5,807,light
User2,682,sound
User1,699,sound
User3,144,sound
User3,606,shock
User2,280,sound
User2,938,light
User4,536,light
User4,781,light
User5,720,sound
User5,341,shock
User4,602,sound
User4,721,light
User4,496,shock
User1,743,light
User4,821,shock
User5,727,sound
User3,437,sound
User3,296,light
User4,776,light
User1,129,light
User5,828,shock
User4,554,light
User2,809,light
User4,389,light
User5,396,light
User2,574,sound
User5,960,shock
User2,162,sound
User4,962,shock
User1,254,shock
User1,787,sound
User1,345,shock
User4,62,shock
User4,888,shock
User3,917,sound
User3,263,light
User4,139,shock
User3,461,shock
User5,888,light
User2,348,light
User1,499,light
User4,772,sound
User4,690,light
User1,271,sound
User4,38,sound
User3,841,shock
User5,503,sound
User1,62,light
User5,260,shock
User5,403,light
User3,412,light
User4,860,light
User2,413,light
User3,865,shock
User5,670,shock
User3,982,shock
User1,182,light
User5,69,shock
User5,404,shock
User2,542,light
User5,504,shock
User4,946,sound
User2,759,light
User3,930,light
User2,655,shock
User5,359,light
User1,806,light
User4,865,sound
User2,617,sound
User3,123,sound
User3,309,light
User2,927,shock
User4,303,shock
User2,80,light
User2,524,sound
User5,342,sound
User2,492,shock
User1,567,sound
User2,868,sound
User3,514,sound
User5,607,shock
User3,919,shock
User2,669,light
User3,157,light
User1,127,shock
User1,516,sound
User3,374,light
User3,141,shock
User2,546,shock
User2,324,sound
User1,711,sound
User5,897,light
User3,894,light
User3,331,light
User4,583,shock
User2,262,shock
User1,542,shock
User4,891,sound
User3,529,light
User1,121,light
User2,641,shock
User3,694,shock
User5,572,sound
User3,557,shock
User4,63,shock
User3,317,sound
User2,947,light
User4,895,light
User5,484,light
User5,168,light
User4,539,sound
User2,900,light
User2,870,shock
User2,732,sound
User1,59,sound
User2,455,shock
User5,570,sound
User4,257,light
User4,41,light
User2,108,light
User4,170,shock
User1,276,sound
User5,882,light
User4,354,sound
User3,969,light
User2,867,shock
User3,475,sound
User2,820,light
User5,402,sound
User2,637,light
User2,228,shock
User5,672,sound
User5,472,light
User5,863,shock
User2,30,light
User1,653,sound
User5,739,sound
User4,246,shock
User2,153,sound
User2,122,sound
User2,675,sound
User2,810,shock
User1,965,shock
User5,456,shock
User4,295,light
User2,373,sound
User5,445,sound
User1,950,shock
User2,472,shock
User3,732,light
User4,89,sound
User5,455,sound
User4,268,sound
User3,859,shock
User4,222,shock
User1,171,sound
User4,285,shock
User5,267,light
User3,977,light
User1,80,sound
User1,737,sound
User5,797,sound
User5,807,light
User3,516,shock
User1,700,sound
User4,573,sound
User3,904,shock
User5,949,shock
User2,546,light
User1,528,light
User3,942,light
User5,88,shock
User3,72,shock
User5,722,shock
User4,577,sound
User3,96,light
User5,821,light
User4,114,shock
User4,130,sound
User2,859,sound
User5,114,sound
User1,826,light
User4,631,shock
User3,955,shock
User1,924,sound
User2,650,shock
User2,473,shock
User3,524,shock
User2,624,shock
User4,852,shock
User3,208,shock
User3,118,sound
User2,48,sound
User1,1000,light
User4,9,sound
User5,916,shock
User5,863,sound
User1,107,shock
User4,293,sound
User1,346,light
User2,137,shock
User2,224,shock
User5,632,light
User5,191,shock
User5,751,shock
User4,725,light
User2,802,sound
User2,76,light
User4,40,light
User5,321,sound
User1,153,light
User2,953,sound
User5,919,sound
User3,441,light
User5,944,shock
User4,711,light
User5,116,sound
User2,643,sound
User1,516,light
User3,603,light
User3,863,sound
User3,138,shock
User4,998,shock
User2,649,sound
User3,946,light
User1,654,light
User2,510,shock
User4,238,light
User3,689,light
User2,662,shock
User1,0,sound
User2,751,sound
User2,134,shock
User1,807,sound
User1,497,shock
User3,920,light
User2,284,shock
User1,242,sound
User3,242,light
User4,396,sound
User4,400,light
User1,886,light
User1,579,light
User3,202,sound
User1,487,shock
User3,334,sound
User3,137,light
User3,644,sound
User5,677,light
User4,667,light
User1,374,sound
User4,809,sound
User5,216,sound
User1,553,light
User1,656,sound
User1,879,sound
User2,537,shock
User1,866,light
User3,443,light
User2,590,light
User2,468,shock
User2,950,sound
User5,312,shock
User4,926,light
User3,355,light
User3,190,shock
User1,539,light
User3,221,sound
User4,121,light
User3,617,sound
User1,123,shock
User5,902,sound
User5,215,sound
User3,434,sound
User3,874,shock
User3,920,sound
User3,144,shock
User5,182,light
User2,162,sound
User1,414,light
User4,574,sound
User5,767,shock
User3,888,sound
User1,766,sound
User3,188,sound
User3,588,sound
User1,960,light
User5,562,light
User1,546,shock
User3,383,shock
User4,233,shock
User5,310,light
User5,311,light
User4,479,light
User1,328,shock
User1,696,shock
User4,218,light
User4,758,shock
User3,226,sound
User4,416,sound
User2,97,sound
User1,839,light
User5,278,light
User5,669,shock
User3,86,sound
User4,255,shock
User2,434,shock
User1,591,light
User4,388,sound
User5,855,sound
User2,306,light
User2,768,shock
User3,57,sound
User2,726,shock
User2,701,sound
User3,810,sound
User3,812,shock
User5,518,shock
User1,353,sound
User1,530,light
User2,55,shock
User4,344,light
User2,458,light
User5,257,sound
User2,691,light
User4,198,light
User2,152,sound
User3,62,shock
User1,211,shock
User1,879,sound
User5,308,shock
User2,817,light
User3,237,light
User5,265,shock
User4,987,sound
User5,677,light
User5,752,shock
User2,970,light
User5,893,light
User3,269,light
User2,624,light
User5,875,sound
User5,819,light
User1,229,light
User2,203,sound
User1,663,light
User1,572,sound
User5,830,sound
User5,2,light
User3,933,shock
User5,384,shock
User5,820,sound
User3,984,shock
User2,934,sound
User5,762,shock
User5,754,sound
User4,660,light
User2,302,light
User5,308,light
User3,676,light
User2,745,light
User2,498,sound
User5,60,sound
User2,990,light
User5,384,sound
User4,959,shock
User2,692,shock
User4,836,sound
User2,93,light
User1,201,sound
User4,202,light
User3,178,light
User3,267,light
User3,678,shock
User2,580,shock
User5,54,sound
User3,196,light
User2,57,light
User4,23,sound
User5,367,shock
User1,780,shock
User2,425,shock
User4,792,shock
User1,335,light
User4,964,shock
User5,765,sound
User2,133,sound
User1,968,sound
User3,688,shock
User2,275,sound
User2,235,light
User5,475,sound
User5,804,sound
User1,749,shock
User2,589,light
User5,727,light
User2,220,sound
User5,88,light
User5,396,light
User2,777,sound
User1,325,shock
User4,556,shock
User2,316,sound
User4,476,light
User2,922,shock
User1,935,sound
User5,437,sound
User2,282,light
User2,58,shock
User3,116,light
User5,844,shock
User1,154,sound
User5,546,shock
User1,884,shock
User3,393,shock
User1,376,shock
User1,276,shock
User1,415,light
User4,796,sound
User4,393,light
User5,575,light
User4,732,shock
User1,791,shock
User3,521,light
User3,945,light
User3,908,sound
User5,293,sound
User5,587,sound
User2,355,sound
User4,473,light
User3,497,light
User4,413,light
User2,733,light
User4,270,sound
User3,293,light
User1,946,shock
User2,588,sound
User2,8,sound
User1,36,light
User3,929,shock
User2,982,light
User4,960,light
User1,978,sound
User2,102,shock
User2,991,light
User2,187,shock
User1,738,light
User2,66,shock
User4,956,sound
User2,123,light
User3,930,light
User4,391,sound
User4,452,light
User1,222,shock
User2,823,shock
User2,451,sound
User2,499,shock
User1,855,light
User3,287,shock
User3,449,light
User5,69,shock
User5,607,shock
User5,282,light
User3,327,shock
User3,916,light
User4,492,light
User3,183,shock
User3,98,shock
User2,585,shock
User5,436,shock
User1,764,light
User5,420,sound
User1,437,shock
User5,430,light
User1,153,shock
User1,527,shock
User5,340,shock
User4,904,sound
User4,444,shock
User5,34,sound
User2,794,shock
User4,50,sound
User3,924,shock
User2,643,sound
User5,346,sound
User1,206,sound
User3,753,sound
User1,995,sound
User3,652,sound
User2,680,light
User4,442,light
User3,902,shock
User2,727,shock
User5,404,shock
User1,771,shock
User5,928,shock
User3,236,light
User3,272,shock
User4,816,shock
User2,582,sound
User5,321,light
User3,520,shock
User5,998,light
User3,198,light
User1,492,sound
User3,176,shock
User1,380,light
User5,135,light
User5,357,sound
User5,532,light
User4,653,sound
User5,296,shock
User1,688,shock
User4,634,sound
User4,387,sound
User4,938,sound
User4,274,sound
User1,549,shock
User2,637,light
User1,313,sound
User2,71,shock
User5,966,shock
User2,758,light
User4,469,light
User4,279,shock
User1,244,shock
User4,378,shock
User1,707,light
User3,353,shock
User5,314,sound
User1,297,light
User1,772,shock
User1,353,sound
User1,197,shock
User3,391,light
User1,738,shock
User1,684,light
User2,156,light
User3,461,light
User1,952,sound
User4,535,shock
User1,725,light
User3,326,light
User4,810,shock
User1,867,sound
User4,825,sound
User5,440,light
User5,360,light
User3,982,sound
User5,360,light
User4,778,sound
User2,290,shock
User2,636,sound
User4,740,light
User4,381,light
User2,158,sound
User3,289,shock
User2,163,shock
User4,599,sound
User4,416,sound
User3,18,light
User2,638,sound
User2,99,shock
User3,249,light
User5,416,shock
User2,738,shock
User1,814,sound
User5,329,shock
User5,613,shock
User3,789,sound
User2,616,shock
User2,911,light
User3,283,shock
User2,197,sound
User5,415,light
User4,188,light
User1,772,light
User2,813,light
User2,122,light
User1,107,shock
User5,347,sound
User1,827,sound
User4,189,shock
User5,491,sound
User1,905,sound
User3,839,sound
User5,299,light
User3,439,sound
User4,175,shock
User4,498,shock
User3,250,shock
User3,491,sound
User1,463,light
User2,5,light
User1,996,sound
User5,610,sound
User1,876,shock
User2,726,light
User1,86,shock
User4,379,light
User1,940,shock
User4,711,light
User2,207,shock
User4,651,light
User1,404,sound
User5,31,light
User3,84,light
User4,925,sound
User4,240,shock
User4,290,light
User3,391,light
User4,586,sound
User1,811,light
User2,720,sound
User3,559,light
User5,368,sound
User2,419,light
User1,411,light
User4,906,light
User4,60,sound
User5,348,shock
User1,577,light
User1,368,light
User2,368,light
User3,852,sound
User2,402,shock
User2,295,shock
User1,558,sound
User4,984,sound
User2,480,sound
User4,145,light
User5,360,sound
User3,514,sound
User1,808,sound
User2,580,light
User3,647,light
User3,708,light
User1,625,shock
User4,97,sound
User1,380,light
User3,612,sound
User4,187,sound
User2,236,sound
User4,168,light
User4,915,sound
User4,662,sound
User3,860,sound
User1,42,light
User3,989,sound
User2,655,shock
User2,622,shock
User3,121,sound
User3,557,shock
User4,928,shock
User3,942,shock
User4,362,shock
User3,758,sound
User1,810,light
User2,476,shock
User5,808,light
User1,888,light
User5,493,shock
User2,475,shock
User5,792,light
User2,783,sound
User2,642,light
User5,381,shock
User5,573,light
User4,838,sound
User2,279,sound
